post_id,account_id,campaign_id,content_theme,format,published_at,caption,post_url
POST-011,SOC-103,CMP-2025-02,Lighting Unboxing & Sunset Vibe,Static Photo,2025-03-20 13:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-011
POST-012,SOC-103,CMP-2025-02,Ergonomic Posture Tips,Carousel,2025-04-01 09:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-012
POST-013,SOC-103,CMP-2025-02,Zen Mood Aromatherapy,Long Video Unboxing,2025-04-08 11:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-013
POST-014,SOC-104,CMP-2025-02,Ergonomic Posture Tips,Long Video Unboxing,2025-03-26 14:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-014
POST-015,SOC-101,CMP-2025-02,Productivity ASMR,Static Photo,2025-04-11 10:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-015
POST-016,SOC-102,CMP-2025-02,Productivity ASMR,Long Video Unboxing,2025-03-02 10:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-016
POST-017,SOC-104,CMP-2025-03,Productivity ASMR,Reels / Short Video,2025-06-22 14:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-017
POST-018,SOC-103,CMP-2025-03,Desk Tour Aesthetic,Reels / Short Video,2025-05-21 17:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-018
POST-019,SOC-103,CMP-2025-03,Desk Tour Aesthetic,Carousel,2025-06-29 09:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-019
POST-020,SOC-101,CMP-2025-03,Ergonomic Posture Tips,Reels / Short Video,2025-05-30 18:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-020
POST-021,SOC-101,CMP-2025-03,Cyber Sale Flash Promo,Long Video Unboxing,2025-05-29 09:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-021
POST-022,SOC-104,CMP-2025-03,Desk Tour Aesthetic,Long Video Unboxing,2025-06-24 17:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-022
POST-023,SOC-104,CMP-2025-03,Desk Tour Aesthetic,Reels / Short Video,2025-06-13 18:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-023
POST-024,SOC-103,CMP-2025-03,Productivity ASMR,Carousel,2025-06-16 13:00:00,Calm your mind while you work with ceramic diffusers & pure essential oils ✨ Check out our PRD-401! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-024
POST-025,SOC-103,CMP-2025-04,Ergonomic Posture Tips,Long Video Unboxing,2025-11-09 17:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-025
POST-026,SOC-103,CMP-2025-04,Ergonomic Posture Tips,Static Photo,2025-10-30 18:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-026
POST-027,SOC-102,CMP-2025-04,Productivity ASMR,Long Video Unboxing,2025-11-14 20:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-027
POST-028,SOC-104,CMP-2025-04,Lighting Unboxing & Sunset Vibe,Reels / Short Video,2025-10-25 18:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-028
POST-029,SOC-102,CMP-2025-04,Lighting Unboxing & Sunset Vibe,Reels / Short Video,2025-11-13 20:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-029
POST-030,SOC-104,CMP-2025-04,Desk Tour Aesthetic,Carousel,2025-10-13 19:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-030
POST-031,SOC-102,CMP-2025-04,Productivity ASMR,Reels / Short Video,2025-10-09 20:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-031
POST-032,SOC-103,CMP-2025-04,Desk Tour Aesthetic,Long Video Unboxing,2025-10-28 19:00:00,Illuminate your desk and gift your loved ones premium workspace luxury ✨ Check out our PRD-201! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-032
POST-033,SOC-104,CMP-2025-05,Lighting Unboxing & Sunset Vibe,Long Video Unboxing,2025-12-23 09:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-033
POST-034,SOC-101,CMP-2025-05,Cyber Sale Flash Promo,Carousel,2025-12-17 10:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-034
POST-035,SOC-101,CMP-2025-05,Lighting Unboxing & Sunset Vibe,Static Photo,2025-12-05 10:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-035
POST-036,SOC-104,CMP-2025-05,Cyber Sale Flash Promo,Reels / Short Video,2025-12-18 18:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-036
POST-037,SOC-104,CMP-2025-05,Lighting Unboxing & Sunset Vibe,Reels / Short Video,2025-12-17 10:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-037
POST-038,SOC-101,CMP-2025-05,Zen Mood Aromatherapy,Long Video Unboxing,2025-12-19 15:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-038
POST-039,SOC-102,CMP-2025-05,Desk Tour Aesthetic,Reels / Short Video,2025-11-20 18:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-039
POST-040,SOC-104,CMP-2025-05,Ergonomic Posture Tips,Carousel,2025-11-28 09:00:00,Final chance of the year! Upgrade your setup before sale ends ✨ Check out our PRD-301! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-040
